ID IPEDS Race,IPEDS Race,ID Year,Year,Bachelor Degree Completions,percentage awarded,ID Household Income Bucket,Household Income Bucket,,Year,Household Income,Household Income Moe,share
asian,Asian,2019,2019,3924,0.192787658,0,"< $10,000",,2019,7118907,42565,0.057970209
black,Black or African American,2019,2019,933,0.045838656,1,"$10,000-$14,999",,2019,4940584,35307,0.040231834
hawaiian,Native Hawaiian or Other Pacific Islanders,2019,2019,72,0.003537388,2,"$15,000-$19,999",,2019,4838678,38067,0.039402
hispanic,Hispanic or Latino,2019,2019,1750,0.085978186,3,"$20,000-$24,999",,2019,5322157,42105,0.043339034
multiracial,Two or More Races,2019,2019,1540,0.075660804,4,"$25,000-$29,999",,2019,4984288,40836,0.040587722
native,American Indian or Alaska Native,2019,2019,106,0.005207822,5,"$30,000-$34,999",,2019,5320934,41677,0.043329075
unknown,Unknown,2019,2019,1295,0.063623858,6,"$35,000-$39,999",,2019,4933391,43110,0.040173261
white,White,2019,2019,10734,0.527365628,7,"$40,000-$44,999",,2019,5114120,38752,0.041644961
asian,Asian,2018,2018,3775,0.18400273,8,"$45,000-$49,999",,2019,4620661,37120,0.037626659
black,Black or African American,2018,2018,929,0.045281731,9,"$50,000-$59,999",,2019,9080796,47065,0.073946133
hawaiian,Native Hawaiian or Other Pacific Islanders,2018,2018,77,0.003753168,10,"$60,000-$74,999",,2019,12247929,57807,0.099736519
hispanic,Hispanic or Latino,2018,2018,1692,0.082472217,11,"$75,000-$99,999",,2019,15752484,75827,0.128274578
multiracial,Two or More Races,2018,2018,1384,0.067459544,12,"$100,000-$124,999",,2019,11650162,61394,0.094868823
native,American Indian or Alaska Native,2018,2018,105,0.005117957,13,"$125,000-$149,999",,2019,7652757,44359,0.062317421
unknown,Unknown,2018,2018,1426,0.069506726,14,"$150,000-$199,999",,2019,8802761,50642,0.071682057
white,White,2018,2018,11128,0.542405927,15,"$200,000+",,2019,10422243,46629,0.084869715
asian,Asian,2017,2017,3654,0.177810219,0,"< $10,000",,2019,18621,2554,0.054132702
black,Black or African American,2017,2017,874,0.042530414,1,"$10,000-$14,999",,2019,10508,2560,0.030547577
hawaiian,Native Hawaiian or Other Pacific Islanders,2017,2017,86,0.004184915,2,"$15,000-$19,999",,2019,6614,1469,0.019227415
hispanic,Hispanic or Latino,2017,2017,1619,0.078783455,3,"$20,000-$24,999",,2019,8027,2057,0.023335116
multiracial,Two or More Races,2017,2017,1304,0.063454988,4,"$25,000-$29,999",,2019,8105,2075,0.023561868
native,American Indian or Alaska Native,2017,2017,125,0.006082725,5,"$30,000-$34,999",,2019,10125,2069,0.029434166
unknown,Unknown,2017,2017,1491,0.072554745,6,"$35,000-$39,999",,2019,9529,1614,0.027701548
white,White,2017,2017,11397,0.55459854,7,"$40,000-$44,999",,2019,9081,1805,0.026399177
asian,Asian,2016,2016,3665,0.172138462,8,"$45,000-$49,999",,2019,7948,1535,0.023105457
black,Black or African American,2016,2016,1007,0.04729698,9,"$50,000-$59,999",,2019,17813,2402,0.051783783
hawaiian,Native Hawaiian or Other Pacific Islanders,2016,2016,117,0.00549528,10,"$60,000-$74,999",,2019,25560,2953,0.074304918
hispanic,Hispanic or Latino,2016,2016,1689,0.079329294,11,"$75,000-$99,999",,2019,32979,3399,0.09587253
multiracial,Two or More Races,2016,2016,1320,0.061998027,12,"$100,000-$124,999",,2019,37261,3212,0.108320639
native,American Indian or Alaska Native,2016,2016,137,0.006434644,13,"$125,000-$149,999",,2019,26838,2457,0.078020163
unknown,Unknown,2016,2016,1480,0.06951294,14,"$150,000-$199,999",,2019,38812,3549,0.112829517
white,White,2016,2016,11876,0.557794373,15,"$200,000+",,2019,76167,4230,0.221423422
asian,Asian,2015,2015,3617,0.170131703,0,"< $10,000",,2018,7598669,46912,0.0625301
black,Black or African American,2015,2015,1058,0.049764817,1,"$10,000-$14,999",,2018,5267344,40230,0.043345426
hawaiian,Native Hawaiian or Other Pacific Islanders,2015,2015,115,0.005409219,2,"$15,000-$19,999",,2018,5241202,35766,0.043130301
hispanic,Hispanic or Latino,2015,2015,1536,0.072248354,3,"$20,000-$24,999",,2018,5695642,42544,0.046869927
multiracial,Two or More Races,2015,2015,1144,0.053809972,4,"$25,000-$29,999",,2018,5222981,35428,0.042980359
native,American Indian or Alaska Native,2015,2015,172,0.00809031,5,"$30,000-$34,999",,2018,5563253,41130,0.045780487
unknown,Unknown,2015,2015,1614,0.075917215,6,"$35,000-$39,999",,2018,5151740,37565,0.042394111
white,White,2015,2015,12004,0.56462841,7,"$40,000-$44,999",,2018,5176218,33265,0.042595543
asian,Asian,2014,2014,3749,0.176465051,8,"$45,000-$49,999",,2018,4701684,37127,0.038690562
black,Black or African American,2014,2014,1128,0.053094846,9,"$50,000-$59,999",,2018,9059982,48107,0.07455537
hawaiian,Native Hawaiian or Other Pacific Islanders,2014,2014,132,0.006213227,10,"$60,000-$74,999",,2018,12037965,51619,0.099061448
hispanic,Hispanic or Latino,2014,2014,1434,0.067498235,11,"$75,000-$99,999",,2018,15254871,64508,0.125533644
multiracial,Two or More Races,2014,2014,842,0.039632855,12,"$100,000-$124,999",,2018,11130018,56888,0.091589874
native,American Indian or Alaska Native,2014,2014,211,0.009931749,13,"$125,000-$149,999",,2018,7104900,42113,0.058466832
unknown,Unknown,2014,2014,1476,0.069475171,14,"$150,000-$199,999",,2018,8033342,47072,0.066107061
white,White,2014,2014,12273,0.577688868,15,"$200,000+",,2018,9280369,45589,0.076368954
asian,Asian,2013,2013,3820,0.17176259,0,"< $10,000",,2018,19313,2554,0.057138715
black,Black or African American,2013,2013,1186,0.053327338,1,"$10,000-$14,999",,2018,11535,2111,0.034127017
hawaiian,Native Hawaiian or Other Pacific Islanders,2013,2013,142,0.006384892,2,"$15,000-$19,999",,2018,7380,1676,0.02183419
hispanic,Hispanic or Latino,2013,2013,1424,0.064028777,3,"$20,000-$24,999",,2018,8706,1667,0.025757244
